@area,可住地面積１k�F当たり人口密度,昼夜間人口比率,外国人人口（人口１０万人当たり）,１５歳未満人口割合,１５〜６４歳人口割合,６５歳以上人口割合,未婚者割合（15歳以上人口）,人口増減率,転入超過率,転入率,転出率,核家族世帯割合,高齢夫婦のみの世帯の割合,高齢単身世帯の割合,総面積（都道府県面積に占める割合）,可住地面積割合,商業年間商品販売額［卸売業＋小売業］（従業者１人当たり）,商業年間商品販売額［卸売業＋小売業］（事業所当たり）,課税対象所得（納税義務者１人当たり）,標準財政規模（市町村財政）,小学校数（可住地面積100k�F当たり）,中学校数（可住地面積100k�F当たり）,高等学校数（可住地面積100k�F当たり）,就業者比率,第１次産業就業者比率（対就業者）,第２次産業就業者比率（対就業者）,第３次産業就業者比率（対就業者）,第２次産業及び第３次産業就業者比率（対就業者）,完全失業率,他市区町村への通勤者比率,他市区町村からの通勤者比率,高齢就業者割合［６５歳以上］,公民館数（人口100万人当たり）,図書館数（人口100万人当たり）,持ち家比率,空き家比率（対総住宅数）,１住宅当たりの延べ面積,小売店数（事業所・企業統計調査結果）（人口千人当たり）,飲食店数（事業所・企業統計調査結果）（人口千人当たり）,大型小売店数（事業所・企業統計調査結果）（人口10万人当たり）,百貨店数（事業所・企業統計調査結果）（人口10万人当たり）,一般病院数（人口10万人当たり）,一般診療所数（人口10万人当たり）,一般病院数（可住地面積100k�F当たり）,一般診療所数（可住地面積100k�F当たり）,介護老人福祉施設（65歳以上人口10万人当たり）
43404,1235.9,98,607.6,17.778,62.642,18.778,25.49211,8.61,0.85,6.16,5.32,59.39,8.84,6.28,0.51,89.7,3108.8,317.2,3184.866667,8469259.667,17.86333333,5.956666667,0,96.086,4.84,29.95,62.42,92.37,3.9,60.1,63.1,20.32,24.4,24.4,51.3,3.39,89.82,8.955,3.38,23.18,6.1,7.3,78.1,8.94,94.16,13
43423,180.6,101.8,1111.7,11.215,51.458,37.327,19.98886,-8.6,-0.89,4.72,5.61,40.37,13.21,14.25,1.56,19.3,1453.4,51.8,2329.766667,2204834.667,13.39666667,4.466666667,0,97.427,22.03,14.16,63.59,77.75,2.6,20.3,26.1,36.47,1729.2,0,,,,12.97,9.51,24.7,0,0,49.4,0,9.8,66.2
43424,235.7,97.6,626.1,11.034,51.037,37.93,18.01971,-8.76,-1.71,3.33,5.04,48.29,15.53,14.17,1.85,22.36666667,2338.5,107.1,2663.35,3212532.667,3.273333333,3.273333333,3.273333333,97.687,18.2,15.63,65.91,81.54,2.3,20.1,15.2,33.97,0,0,,,,14.61,9.39,20.87,0,13.9,41.7,3.3,9.8,0
43425,81.3,96,1589.4,11.854,48.411,39.735,17.58077,-5.98,-0.73,2.78,3.51,47.8,16.83,14.15,0.82,30.6,1717.2,33.2,2287.433333,1133676.333,3.583333333,3.583333333,0,97.857,38.81,13.87,47.32,61.19,2.1,23.2,19.7,34.67,2649,0,,,,8.94,3.64,0,0,0,132.5,0,11.8,0
43428,152.7,98.2,632.4,11.462,49.739,38.751,18.40272,-5.82,-1.34,3.42,4.76,53.83,17.72,15.8,2.36,25.1,1770.2,100.3,2345.183333,2791009.667,3.453333333,3.453333333,2.276666667,96.811,24.77,18.09,56.92,75.01,3.2,26.1,24.3,26.64,0,0,,,,14.55,5.925,15.81,0,0,94.9,0,12.94,40.8
43432,217.1,101.6,249.9,15.304,57.013,27.683,20.13201,0.15,-0.47,4.29,4.76,61.12,12.23,10.27,1.04,40.66666667,2446.5,133.3,2993.183333,2363507.333,6.373333333,3.183333333,0,96.765,15.85,25.9,58,83.91,3.2,50.4,59.4,33.56,73.5,0,,,,9.185,4.705,0,0,0,73.5,0,14.02,53.1
43433,186.1,97.3,278.2,10.623,54.542,34.834,24.98784,-3.92,-0.45,3.78,4.23,46.48,14.51,10.92,1.85,45.66666667,4819.9,192.1,2464.733333,4909350.333,7.97,2.67,0,95.608,22.82,16.97,60.09,77.05,4.4,33.7,30.4,27.08,86.9,0,,,,9.565,4.955,4.345,0,8.7,69.5,1.28,12.46,49.9
43441,398.5,90.8,232.1,12.879,55.543,31.537,23.2338,-3.64,-0.07,3.47,3.54,61.13,15.45,12.59,1.34,43.83333333,3373.1,263.7,2420.25,4541003.667,13.81666667,2.303333333,2.303333333,95.777,10.46,25.11,63.64,88.75,4.2,55.8,37.1,23.58,638.2,58,68,8.28,105.72,8.24,1.535,2.9,0,0,69.6,0,27.64,18.4
43442,543.8,121,220.9,15.474,57.93,26.408,23.65831,4.36,0.95,5.05,4.1,60.65,10.95,8.13,0.22,100,4654.9,497.3,2835.983333,2590640.333,12.01,6.01,0,95.548,8.41,21.65,69.55,91.2,4.5,62.2,113.4,22.12,220.9,0,,,,22.42,4.585,44.18,11.04,22.1,132.5,12,70.9,41.8
43443,757.2,95,169.6,15.676,57.579,26.703,22.82451,2.86,1.03,4.7,3.67,67.86,14.09,8.28,0.89,69.13333333,4723.1,472,2660.316667,7137393,11.01333333,4.41,0,94.668,8.6,22.17,68.62,90.79,5.3,58.3,55.1,21.05,133.9,29.8,53.7,17.92,86.57,4.3,0.8,8.925,0,8.9,56.5,6.62,42.84,44.6
43444,335.1,93.9,223.9,12.364,51.535,36.083,21.99104,-4.15,-0.81,2.46,3.28,56.53,15.72,13.85,0.78,55.73333333,2126.5,98.4,2245.583333,3438592.333,12.39,3.096666667,3.096666667,95.832,16.31,22.23,60.93,83.16,4.2,48.6,40.2,26.04,0,0,,,,7.79,1.865,0,0,18.7,46.7,6.24,15.48,25.9
43447,111.4,99,481.9,9.123,46.406,44.472,15.88547,-10.79,-1.42,2.35,3.77,47.85,18.05,16.72,7.35,25.46666667,2516.6,98,2318.616667,7475138.333,4.936666667,2.17,0.726666667,97.481,37.93,15.45,46.6,62.05,2.5,13.8,13.1,34.5,198,66,80.3,19.71,117.96,12.64,4.95,3.3,0,26.4,85.8,2.9,9,29.7
43468,400.1,84.5,283.5,11.989,52.626,34.542,21.67417,-5.67,-0.56,2.59,3.15,50.61,14.04,12.67,0.45,89.83333333,1480.2,107.9,2367.866667,4140582.667,10.01,6.676666667,0,95.735,27.36,18.71,53.62,72.33,4.3,46.8,21.7,25.44,166.8,83.4,,,,7.045,2.25,16.675,0,8.3,83.4,3.3,33.4,72.4
43482,350.1,94.8,158.5,10.679,49.352,39.952,20.5944,-8.57,-0.55,2.1,2.65,53.72,17.14,16.41,3.16,21.86666667,1535.9,92.9,2259.683333,6214747.333,17.58333333,5.863333333,1.953333333,95.561,15.53,22.9,61.49,84.39,4.4,24.6,16.1,19.4,339.7,56.6,83.7,18.31,125.32,8.975,2.575,8.49,0,17,101.9,5.84,34.46,28.3
43484,384.3,83.2,107,11.128,51.787,37.085,20.64563,-7.68,-1.78,1.65,3.42,56.79,15.71,15.36,0.46,36.03333333,1736.7,90.1,2131.316667,1934012.333,10.885,8.141666667,0,95.455,18.26,22.42,59.27,81.69,4.5,50,21.3,21.81,214,0,,,,6.42,3.105,0,0,0,85.6,0,30.96,115.4
43501,307.6,98.8,241.5,15.874,55.582,28.544,19.58706,-2.79,-0.85,3.85,4.69,54.46,12.09,10.27,1.15,42.2,5454.9,392.5,2290.383333,3228064.333,8.37,2.793333333,3.71,96.629,18.22,24.54,57.17,81.71,3.4,46.1,44.3,27.89,2507.9,92.9,,,,10.45,2.6,9.29,0,0,92.9,0,27.42,32.5
43505,300.1,100.6,204.3,12.757,49.556,37.688,18.07963,-7.23,-0.63,2.99,3.63,53.78,15.76,14.42,2.24,19.9,1706.2,99.9,2451.8,3968673.667,18.20333333,3.033333333,2.53,96.766,23.64,24.82,51.5,76.32,3.2,32.5,34.6,28.89,357.45,0,,,,10.32,4.495,10.21,0,10.2,71.5,3.04,23.66,0
43506,313,88.4,125.5,11.292,47.729,40.979,17.34088,-8.91,-0.5,3.11,3.61,50.71,16.45,18.62,0.65,26.96666667,1185.9,42,2184.05,1869855,7.666666667,7.666666667,0,96.479,23.1,24.6,52.15,76.75,3.5,42.7,24.3,30.25,250.9,0,,,,13.425,2.01,0,0,0,75.3,0,23.06,61.2
